n;pregunta;fragmento_esperado;fuente
P01;¿Hasta qué hora puedo hacer una fiesta en el SUM?;pueden extenderse hasta las 02:00, con aviso previo de al menos 72 horas;Art. 44
P02;Soy inquilino, ¿me corresponde pagar la obra de la fachada?;Las expensas extraordinarias son siempre a cargo del propietario;Art. 9
P03;¿Cuándo vencen las expensas y qué interés corre si me atraso?;vencen el día 10, interés del tres por ciento mensual directo;Art. 11|Art. 12
P04;¿Puedo ver quién debe expensas en el edificio?;La nómina nominada de deudores sólo es visible para el administrador y el consejo;Art. 15
P05;Se equivocaron en la liquidación de este mes, ¿se puede corregir?;puede ser anulada y reemplazada por otra que la referencie;Art. 16
P06;¿Qué datos tengo que cargar cuando hago un reclamo?;se registran con rubro y descripción, y opcionalmente con fotografías;Art. 54
P07;Se cortó el agua en todo el piso, ¿en cuánto tiempo lo atienden?;72 horas para las urgencias que afecten el suministro de agua;Art. 55
P08;Debo dos meses de expensas, ¿puedo reservar el quincho igual?;La unidad que registre deuda vencida no puede efectuar reservas;Art. 49
P09;Dos vecinos pidieron el SUM el mismo sábado, ¿quién lo usa?;No se confirman reservas superpuestas, prevalece la registrada primero;Art. 48
P10;¿Cuánta gente entra en el salón de usos múltiples?;capacidad máxima del salón de usos múltiples es de cuarenta personas;Art. 50
P11;¿Qué mayoría hace falta para aprobar una obra grande?;dos expensas ordinarias totales requieren asamblea con dos tercios de los presentes;Art. 21
P12;¿Con qué criterio se elige o se cambia un proveedor?;se evalúan por el costo, el cumplimiento de los plazos y la calidad de los reclamos que atendieron;Art. 36
P13;Hay un contrato que no puedo abrir en la documentación, ¿por qué?;marque como no visibles sólo pueden ser consultados por el administrador y el consejo;Art. 65
P14;Si no me llegó el correo de la liquidación, ¿la liquidación vale igual?;La falla del servicio de correo no bloquea ni invalida la operación;Art. 66
P15;Le pregunté al asistente algo que no está en ningún documento, ¿qué debería contestar?;debe indicar que no la encuentra, sin fuente no hay respuesta;Art. 67
P16;¿Puedo llevar al perro al quincho durante un cumpleaños?;prohibida su presencia en el salón de usos múltiples y en el quincho durante los eventos;Art. 46
P17;Perdí la tarjeta magnética de la puerta, ¿qué hago?;denunciarse a la administración dentro de las 24 horas para su inhabilitación;Art. 47
P18;Quiero cerrar el balcón con vidrio, ¿necesito permiso?;El cerramiento de balcones se considera modificación de fachada, autorización escrita;Art. 40
P19;¿Hay horario de silencio a la siesta?;ruidos molestos entre las 22:00 y las 08:00, y de 13:00 a 16:00;Art. 43
P20;¿La reparación de la filtración que reclamé va a aparecer en los gastos?;el gasto resultante se vincula al reclamo que lo originó;Art. 56
